iter	RMSE
0	1.860994008
1	1.846461019
2	1.831215041
3	1.817790944
4	1.803934274
5	1.790215758
6	1.778882902
7	1.768126126
8	1.756708339
9	1.747036964
10	1.7375785
11	1.728396083
12	1.719937279
13	1.71043741
14	1.702031163
15	1.693379775
16	1.68556093
17	1.678051322
18	1.669678386
19	1.661337568
20	1.654552116
21	1.648538184
22	1.64180431
23	1.633235522
24	1.62694984
25	1.620960635
26	1.614675015
27	1.609321555
28	1.602102721
29	1.595452288
30	1.591285149
31	1.584632797
32	1.580125504
33	1.574252345
34	1.568641179
35	1.563502407
36	1.558300524
37	1.55284529
38	1.547480024
39	1.542675197
40	1.538287947
41	1.532022149
42	1.528171856
43	1.524610761
44	1.521151621
45	1.516694176
46	1.512557837
47	1.507937307
48	1.502226743
49	1.499225802
50	1.494204548
51	1.491439146
52	1.489000802
53	1.485165035
54	1.482127919
55	1.479017337
56	1.474544413
57	1.470550871
58	1.46816174
59	1.465770838
60	1.462482729
61	1.458750229
62	1.455485846
63	1.45303069
64	1.45071102
65	1.444817377
66	1.439514952
67	1.436630113
68	1.43345148
69	1.43083066
70	1.427824063
71	1.42492285
72	1.422052609
73	1.418838102
74	1.415080322
75	1.411785599
76	1.409282173
77	1.407074967
78	1.404814481
79	1.401835032
80	1.39874042
81	1.397050334
82	1.395324422
83	1.392377501
84	1.389543952
85	1.386985278
86	1.38512944
87	1.382026403
88	1.37985832
89	1.376726518
90	1.374256891
91	1.371371537
92	1.368074994
93	1.364898645
94	1.362284286
95	1.359893913
96	1.357797655
97	1.355343144
98	1.35200354
99	1.349303292
100	1.347473716
101	1.345350517
102	1.341668376
103	1.33856679
104	1.336331393
105	1.333621154
106	1.331496036
107	1.32809208
108	1.325296756
109	1.322595833
110	1.320807241
111	1.318780144
112	1.31700818
113	1.31552789
114	1.312313878
115	1.309068246
116	1.306246177
117	1.303442935
118	1.301092684
119	1.299020313
120	1.296540505
121	1.292914726
122	1.291773566
123	1.289155182
124	1.28723559
125	1.28550339
126	1.283901913
127	1.281383297
128	1.279262592
129	1.276137662
130	1.273856622
131	1.271535816
132	1.270424008
133	1.268200238
134	1.265917171
135	1.263749623
136	1.261309336
137	1.25913865
138	1.257850922
139	1.255410825
140	1.253238827
141	1.250924669
142	1.248689505
143	1.247788861
144	1.246739765
145	1.245022347
146	1.242577736
147	1.240681151
148	1.239458497
149	1.237873786
150	1.236010577
151	1.233639802
152	1.231467636
153	1.230116355
154	1.228292536
155	1.227356103
156	1.225031427
157	1.222966583
158	1.221728445
159	1.220087549
160	1.219400112
161	1.217592107
162	1.215905628
163	1.213457344
164	1.21086403
165	1.209280557
166	1.2071685
167	1.206229872
168	1.204214745
169	1.202199155
170	1.200747107
171	1.199061577
172	1.19727952
173	1.194903882
174	1.193289561
175	1.192547919
176	1.190478805
177	1.189070974
178	1.186973889
179	1.183918726
180	1.181596
181	1.17965202
182	1.17817375
183	1.176415921
184	1.174685087
185	1.173845154
186	1.172545011
187	1.170904833
188	1.169172411
189	1.167382559
190	1.16536098
191	1.163705873
192	1.162106666
193	1.159420738
194	1.158173286
195	1.156887403
196	1.155512694
197	1.154734075
198	1.153644941
199	1.15167705
200	1.150133694
201	1.147874082
202	1.146304493
203	1.14391842
204	1.143007842
205	1.141545301
206	1.139572864
207	1.13832907
208	1.136545806
209	1.134770387
210	1.13230897
211	1.129705346
212	1.128963308
213	1.127189853
214	1.124933554
215	1.123343135
216	1.122075406
217	1.119894532
218	1.118206581
219	1.116517159
220	1.114003501
221	1.112558983
222	1.111160897
223	1.109939717
224	1.108141292
225	1.106145335
226	1.105393651
227	1.103708747
228	1.101709882
229	1.100404496
230	1.098913685
231	1.097416567
232	1.09488693
233	1.094114876
234	1.092211635
235	1.091513783
236	1.089554585
237	1.0881858
238	1.085715612
239	1.083534199
240	1.081489777
241	1.07959813
242	1.078551115
243	1.07676572
244	1.075495309
245	1.073968258
246	1.072538011
247	1.071630612
248	1.070663379
249	1.068855441
250	1.067833031
251	1.066370606
252	1.065047426
253	1.064067269
254	1.063501241
255	1.062438902
256	1.061461775
257	1.060296767
258	1.059701125
259	1.058841963
260	1.057000736
261	1.055303344
262	1.054309373
263	1.053160734
264	1.051434155
265	1.050828041
266	1.049552624
267	1.047882106
268	1.046490121
269	1.044959412
270	1.042980292
271	1.041906098
272	1.040847146
273	1.038352756
274	1.036510043
275	1.034992923
276	1.032969936
277	1.031309264
278	1.029792164
279	1.027472657
280	1.027026442
281	1.026021813
282	1.024530203
283	1.02275649
284	1.021430827
285	1.020216905
286	1.019429846
287	1.017722776
288	1.016025826
289	1.014558952
290	1.013343669
291	1.012083322
292	1.010064174
293	1.008705911
294	1.008137887
295	1.007419333
296	1.005461602
297	1.004353423
298	1.003070444
299	1.001647
300	1.000341813
301	0.9990602109
302	0.997615252
303	0.9955617752
304	0.9943324515
305	0.9933560515
306	0.9928831631
307	0.9915261126
308	0.9899743536
309	0.9878345016
310	0.9870529285
311	0.985156649
312	0.9835914803
313	0.9816484438
314	0.9807412008
315	0.9796581935
316	0.9781550807
317	0.9763386753
318	0.9747175789
319	0.9735005266
320	0.9724614924
321	0.9710664743
322	0.9702263966
323	0.9696198237
324	0.9682039374
325	0.9661343783
326	0.9650482793
327	0.9626838984
328	0.9612721372
329	0.960098024
330	0.9584645273
331	0.9571181207
332	0.9556323644
333	0.9537578996
334	0.9523873971
335	0.9512760133
336	0.9498802514
337	0.9471628698
338	0.9460251443
339	0.9443132771
340	0.9430431254
341	0.9412740227
342	0.9391969219
343	0.9380815781
344	0.9374064413
345	0.9364885666
346	0.9348306344
347	0.9329327046
348	0.9309686374
349	0.9298924539
350	0.9287080714
351	0.9267397492
352	0.9251199281
353	0.9239228759
354	0.923308207
355	0.9220496648
356	0.9202985672
357	0.9192757491
358	0.918375213
359	0.9167651003
360	0.9157239283
361	0.9144887124
362	0.913355025
363	0.9116598437
364	0.9102124988
365	0.9094575981
