Feature,Importance,Std
hist_ev_usd,3.984962511686136,0.5844804769971774
market_cap_usd,2.209503871124876,0.07207788303569984
issuer_cntry_domicile_name_Switzerland,0.599257435256926,0.09741438256135404
shares_outstanding,0.5016413814233018,0.08342593928442699
top_2_shareholder_location_Switzerland,0.28741016110935447,0.07567795362833363
hist_net_debt_usd,0.27886128067560434,0.10404166263819437
issuer_cntry_domicile_name_Germany,0.18723472824203014,0.03816817624637925
vola,0.17375489567631064,0.011872461904252951
hist_fcf_yld,0.13818250492054274,0.08881271441937866
top_1_shareholder_location_Switzerland,0.1326340391504106,0.012944254943086486
top_2_shareholder_location_Germany,0.12610799981052745,0.019036922238632403
top_2_shareholder_percentage,0.1031296388807812,0.015466001237651295
top_3_shareholder_location_Luxembourg,0.08894468201265271,0.025655814352129713
top_2_shareholder_location_Luxembourg,0.07727776850468726,0.010784003554921595
beta,0.06985885320781726,0.0033456035926882066
cntry_of_risk_HK,0.06887040242879117,0.001265858377246687
hist_capex_sales,0.06773023716555837,0.025883273062031975
shares_float,0.06605373051090568,0.05308372177309861
cntry_of_risk_US,0.05869587359097017,0.007419543012606722
issuer_cntry_domicile_name_France,0.04726110408815809,0.02107079204993023
gics_sub_ind_Human Resource & Employment Services,0.0437362676792894,0.003920940523513217
hist_gross_profit_usd,0.04073479202895536,0.03834515782537595
hist_asset_turnover,0.04071033000533952,0.005624344303999829
gics_sub_ind_Industrial Conglomerates,0.04064660604257697,0.018908328297517984
issuer_cntry_domicile_name_Ireland,0.032546898241674116,0.0027767916105030377
top_1_shareholder_location_Japan,0.03076835273717382,0.022760999436203022
top_3_shareholder_location_United Kingdom,0.028907275913741648,0.005610203679073278
issuer_cntry_domicile_name_China,0.02839775744281714,0.020774057101585308
top_1_shareholder_location_United Kingdom,0.026775290847413036,0.00039389987755633626
issuer_cntry_domicile_name_Canada,0.026604316806118966,0.003618250344066709
gics_sub_ind_Rail Transportation,0.02403364316125467,0.002530786831435261
top_2_shareholder_location_France,0.02215592369856445,0.00837138549016192
gics_sub_ind_Air Freight & Logistics,0.0207308420422625,0.04506358125063148
cntry_of_risk_DE,0.02022552260010424,0.0189547165170445
gics_sub_ind_Passenger Ground Transportation,0.018654724795902577,0.003608823581985998
issuer_cntry_domicile_name_United Kingdom,0.01852477278198572,0.01943630304906785
top_2_shareholder_location_South Korea,0.018064580293680743,0.004923038006744429
gics_sub_ind_Marine Transportation,0.017965951989777684,0.012327035470973469
cntry_of_risk_GB,0.017202239681603393,0.023042863698146787
gics_sub_ind_Agricultural & Farm Machinery,0.016248073354754977,0.0017400229474471285
gics_sub_ind_Cargo Ground Transportation,0.01578692191728126,0.005237270425089813
hist_ebitda_ev,0.013527649201705572,0.004436104387239848
top_2_shareholder_location_Spain,0.013440472662090919,0.05035521633141293
gics_sub_ind_Construction & Engineering,0.011916002927252256,0.0031890582618705476
top_1_shareholder_location_India,0.011269425899887553,0.004100221454690578
cntry_of_risk_IN,0.011269425899882446,0.004100221454689468
issuer_cntry_domicile_name_India,0.011269425899861796,0.0041002214546830285
top_2_shareholder_location_Ireland,0.01044609766157012,0.02090156512781438
top_2_shareholder_location_United States,0.009579989131986988,0.0045715470192195795
gics_sub_ind_Research & Consulting Services,0.009527632689594778,0.014070716372073466
top_3_shareholder_location_Germany,0.009442856929977372,0.022299855147538628
hist_roe,0.007531697228774448,0.0018964083872918813
gics_sub_ind_Diversified Support Services,0.006797532684980734,0.04100597481705348
cntry_of_risk_SE,0.006570802947456489,0.0038743534864287277
issuer_cntry_domicile_name_Sweden,0.006570802947451826,0.0038743534864276175
hist_roa,0.004611518291245842,0.003199569813056913
issuer_cntry_domicile_name_Japan,0.004330748059489853,0.0037920085656244495
cntry_of_risk_JP,0.004330748059473644,0.0037920085656131253
top_2_shareholder_location_Japan,0.004259549735280199,0.00030846660553907057
top_3_shareholder_location_Norway,0.003977215108711851,0.0022548309587848703
return_usd,0.003933503844726349,0.009200891985033266
top_1_shareholder_location_Canada,0.0038169368095803957,0.007441703349941653
top_3_shareholder_location_Australia,0.0037106651667011548,0.0028867179831424394
hist_capex_depr,0.003638736956892652,0.014068636957645486
top_1_shareholder_location_Sweden,0.0035044482027994928,0.0023552427702326906
cntry_of_risk_FR,0.0034779225483538845,0.01808590292914447
gics_sub_ind_Airport Services,0.003116420272807119,0.0040351031793588454
hist_pe,0.002446727289994177,0.003967925688534324
top_3_shareholder_location_Finland,0.0018834307665775984,0.0004636097678731854
top_3_shareholder_location_Ireland,0.0017017332300759413,0.024485231388220452
hist_eps_usd,0.0016403070267596576,0.005896336663392621
cntry_of_risk_IT,0.0014238790775800148,0.0001733242913419808
issuer_cntry_domicile_name_Austria,0.0011481412925724577,0.0027532006370907247
cntry_of_risk_CA,0.0009342950496302738,0.0008792887234048141
top_2_shareholder_location_United Kingdom,0.0007563082371944141,0.01803684622023516
cntry_of_risk_AU,0.0006353976190396349,0.0010931531374629433
top_2_shareholder_location_Australia,0.000618753084211221,0.0020583109094451935
top_1_shareholder_location_Australia,0.0004840828418533061,0.004243347344071724
top_2_shareholder_location_Sweden,0.00046896444559973993,0.0016116008021238581
gics_sub_ind_Commercial Printing,0.000342475969290712,0.00013008586121565635
gics_sub_ind_Security & Alarm Services,9.085088365012872e-05,4.564330836620556e-06
hist_rd_exp_usd,2.2874266563333023e-05,0.03799964980634729
issuer_cntry_domicile_name_Norway,8.881784197001252e-16,2.220446049250313e-15
issuer_cntry_domicile_name_Taiwan,6.661338147750939e-16,1.9984014443252818e-15
