model_name,RMSE,MAE,MSE,R2,n_companies
LR_Base,1.8644843154370143,1.450904403653352,3.4763017625106323,0.10659535532356434,2202
LR_Yeo,1.680463404910601,1.2987307948803455,2.823957255243731,0.17305868426833781,2202
LR_Base_Random,1.8681809771195863,1.444121895403503,3.4901001632714923,0.10304918581037559,2202
LR_Yeo_Random,1.6822291008187626,1.2986659854046827,2.8298947476415024,0.17132000434800865,2202
