model_name,RMSE,MAE,MSE,R2,alpha,l1_ratio,n_features_used,n_companies,model_type
LR_Base_elasticnet,1.9609511517647085,1.5514270185505066,3.8453294196073364,0.011755768490299578,1.5848931924611136,1.0,14,2202,Linear Regression with ElasticNet
LR_Yeo_elasticnet,1.688777819940605,1.3111853443878805,2.8519705251233423,0.16485553947598064,0.1,0.2222222222222222,18,2202,Linear Regression with ElasticNet
LR_Base_Random_elasticnet,1.9609511517647085,1.5514270185505066,3.8453294196073364,0.011755768490299578,1.5848931924611136,1.0,14,2202,Linear Regression with ElasticNet
LR_Yeo_Random_elasticnet,1.6893355584981242,1.3112195761079324,2.8538546292061695,0.1643038160012944,0.1,0.2222222222222222,19,2202,Linear Regression with ElasticNet
