Model,Baseline Type,RMSE,Baseline RMSE,MAE,Baseline MAE,Improvement (%),p-value,Significant,R²,Baseline R²,Predictive Power
XGBoost_Base_Random_categorical_optuna_mean,Mean,1.6134405039583906,1.8220013183519146,1.258722245909951,1.4277498469543923,11.44679821539191,0.8109142508961387,False,0.21583304536944825,0.0,0.1144679821539191
XGBoost_Yeo_Random_categorical_optuna_mean,Mean,1.6134405039583906,1.8220013183519146,1.258722245909951,1.4277498469543923,11.44679821539191,0.8109142508961387,False,0.21583304536944825,0.0,0.1144679821539191
LightGBM_Base_categorical_basic_mean,Mean,1.619492846595176,1.8220013183519146,1.278055749321509,1.4277498469543923,11.114617191381457,0.7103515356266906,False,0.20993887229653407,0.0,0.11114617191381457
XGBoost_Yeo_categorical_optuna_mean,Mean,1.6290849104577538,1.8220013183519146,1.271946268466988,1.4277498469543923,10.588159621567272,0.6987696603735472,False,0.2005522800141667,0.0,0.10588159621567271
LightGBM_Yeo_Random_categorical_optuna_mean,Mean,1.634705051433729,1.8220013183519146,1.2905224411601655,1.4277498469543923,10.2796998570563,0.8179811986402161,False,0.19502677422600967,0.0,0.10279699857056301
CatBoost_Base_Random_categorical_basic_mean,Mean,1.6356480389042918,1.8220013183519146,1.2862637805077561,1.4277498469543923,10.22794427043489,0.7435094917712008,False,0.1940978010087856,0.0,0.1022794427043489
CatBoost_Yeo_Random_categorical_basic_mean,Mean,1.6356480389042918,1.8220013183519146,1.2862637805077561,1.4277498469543923,10.22794427043489,0.7435094917712008,False,0.1940978010087856,0.0,0.1022794427043489
CatBoost_Yeo_Random_categorical_optuna_mean,Mean,1.6413982744387885,1.8220013183519146,1.2841900520933944,1.4277498469543923,9.912344304804895,0.9289509447033613,False,0.18842142913439808,0.0,0.09912344304804895
LightGBM_Base_categorical_optuna_mean,Mean,1.6423692595378767,1.8220013183519146,1.2905596688898866,1.4277498469543923,9.859052076675964,0.82265159466141,False,0.18746095074845848,0.0,0.09859052076675964
LightGBM_Base_Random_categorical_optuna_mean,Mean,1.6425442549779907,1.8220013183519146,1.2866205892212665,1.4277498469543923,9.84944750403645,0.6473838488420072,False,0.18728778846725191,0.0,0.0984944750403645
CatBoost_Yeo_categorical_basic_mean,Mean,1.6447681369778266,1.8220013183519146,1.2876300999293044,1.4277498469543923,9.727390402461598,0.6989120817322934,False,0.18508559564504168,0.0,0.09727390402461598
CatBoost_Base_categorical_basic_mean,Mean,1.6447752298811267,1.8220013183519146,1.287639499438214,1.4277498469543923,9.727001110575332,0.6988562828643058,False,0.18507856715099325,0.0,0.09727001110575331
LightGBM_Yeo_categorical_basic_mean,Mean,1.6458533280709717,1.8220013183519146,1.3021601224473494,1.4277498469543923,9.66783001234472,0.7051639460580401,False,0.184009906532135,0.0,0.09667830012344719
CatBoost_Yeo_categorical_optuna_mean,Mean,1.647391433858704,1.8220013183519146,1.2869986419538344,1.4277498469543923,9.583411534035195,0.955136560634346,False,0.18248405301763604,0.0,0.09583411534035195
CatBoost_Base_categorical_optuna_mean,Mean,1.6474105253628701,1.8220013183519146,1.2870181685124025,1.4277498469543923,9.582363702512026,0.9552626159056288,False,0.18246510463751853,0.0,0.09582363702512026
LightGBM_Base_Random_categorical_basic_mean,Mean,1.6507070995077697,1.8220013183519146,1.2858574610881308,1.4277498469543923,9.401432211865163,0.7557447152775076,False,0.17918995147387384,0.0,0.09401432211865164
XGBoost_Base_categorical_basic_mean,Mean,1.6510241763221263,1.8220013183519146,1.3017305953093248,1.4277498469543923,9.384029545293915,0.7629857594499686,False,0.17887458985518345,0.0,0.09384029545293915
XGBoost_Yeo_categorical_basic_mean,Mean,1.6510241763221263,1.8220013183519146,1.3017305953093248,1.4277498469543923,9.384029545293915,0.7629857594499686,False,0.17887458985518345,0.0,0.09384029545293915
LightGBM_Yeo_Random_categorical_basic_mean,Mean,1.651694318229214,1.8220013183519146,1.3033329442697053,1.4277498469543923,9.347249006205503,0.7922504404879716,False,0.17820787372570923,0.0,0.09347249006205503
XGBoost_Base_categorical_optuna_mean,Mean,1.6529700098679598,1.8220013183519146,1.2926460575334955,1.4277498469543923,9.277233050349903,0.6625391961182256,False,0.17693795569994752,0.0,0.09277233050349902
LightGBM_Yeo_categorical_optuna_mean,Mean,1.6567452703757235,1.8220013183519146,1.3050097089034507,1.4277498469543923,9.070029001168502,0.8501990189182352,False,0.17317403741516613,0.0,0.09070029001168502
CatBoost_Base_Random_categorical_optuna_mean,Mean,1.6568476713261024,1.8220013183519146,1.2914781104329045,1.4277498469543923,9.064408755488792,0.8629145017378431,False,0.1730718245011177,0.0,0.09064408755488791
XGBoost_Base_Random_categorical_basic_mean,Mean,1.6578244302899547,1.8220013183519146,1.3031440433588897,1.4277498469543923,9.010799630510999,0.8321109153611301,False,0.1720965416120983,0.0,0.09010799630510999
XGBoost_Yeo_Random_categorical_basic_mean,Mean,1.6578244302899547,1.8220013183519146,1.3031440433588897,1.4277498469543923,9.010799630510999,0.8321109153611301,False,0.1720965416120983,0.0,0.09010799630510999
ElasticNet_LR_Yeo_Random_optuna_mean,Mean,1.7499463056832458,1.9725800264519289,1.382532565775951,1.5762043592947383,11.286422744994198,0.3607070586108738,False,0.21299012106201176,0.0,0.11286422744994197
ElasticNet_LR_Yeo_optuna_mean,Mean,1.750584989274758,1.9725800264519289,1.383181044363464,1.5762043592947383,11.25404466233354,0.3493569227185628,False,0.212415541120491,0.0,0.1125404466233354
ElasticNet_LR_Base_optuna_mean,Mean,1.8598618892373984,1.9725800264519289,1.4499402142038367,1.5762043592947383,5.714249140871416,0.23586920764883168,False,0.11101971849303338,0.0,0.05714249140871416
LR_Base_mean,Mean,1.8644843154370143,1.9725800264519289,1.450904403653352,1.5762043592947383,5.479915114488199,0.41206113639429764,False,0.10659535532356434,0.0,0.054799151144881986
LR_Base_Random_mean,Mean,1.8681809771195863,1.9725800264519289,1.444121895403503,1.5762043592947383,5.292512746371293,0.3632186603477803,False,0.10304918581037559,0.0,0.05292512746371293
