model_name,RMSE,MAE,MSE,R2,n_companies,n_features
LR_Base,1.8644843154370143,1.450904403653352,3.4763017625106323,0.10659535532356434,2202,362
LR_Yeo,1.9260960594485992,1.471138633599078,3.7098460302234217,0.046574808269135515,2202,362
LR_Base_Random,1.8681809771195863,1.444121895403503,3.4901001632714923,0.10304918581037559,2202,363
LR_Yeo_Random,1.9262529848967251,1.4709583494374865,3.710450561823543,0.04641944450145963,2202,363
