Feature,Importance
top_3_shareholder_percentage,11.699752298753873
cntry_of_risk,6.60400977883353
issuer_cntry_domicile,4.410249792356654
hist_net_debt_usd,4.173181954977848
top_3_shareholder_location,4.018945245113427
top_2_shareholder_location,3.9771040650342138
return_usd,3.9159195955499584
gics_sector,3.721806695348089
shares_float,3.673223374482426
hist_fcf_yld,3.6310261761012925
top_1_shareholder_percentage,3.2100260275051067
top_1_shareholder_location,2.8558523891624477
top_2_shareholder_percentage,2.8112760180671064
market_cap_usd,2.7909089658890003
hist_asset_turnover,2.6703247884646006
hist_gross_profit_usd,2.5841044841533107
random_feature,2.524788629277054
hist_roe,2.4625903669793763
hist_capex_sales,2.4585438743054535
gics_sub_ind,2.390818260820696
shares_outstanding,2.273838553607088
vola,2.186018882880566
hist_ev_usd,2.1706159038920214
hist_book_px,2.0310393309462547
hist_roa,1.9064316715675371
hist_pe,1.8889854532236938
beta,1.8647688300696932
hist_eps_usd,1.8186491587319271
net_income_usd,1.530266641017839
hist_ebitda_ev,1.4347657742743607
hist_roic,1.2888480580753332
hist_rd_exp_usd,1.1477410249274969
hist_net_chg_lt_debt_usd,0.9795370534703222
hist_capex_depr,0.8940408821403758
