Feature,VIF
hist_ev_usd,66.3466406820524
market_cap_usd,39.50539624985198
hist_net_debt_usd,32.58883916612795
shares_float,8.261845119389063
shares_outstanding,7.7966792402874
beta,5.317280105474773
net_income_usd,4.807453205809264
hist_gross_profit_usd,4.664817911727446
top_3_shareholder_percentage,3.921164066320835
vola,3.838538771173839
top_2_shareholder_percentage,3.21856714949021
top_1_shareholder_percentage,2.888073816525664
hist_rd_exp_usd,2.8440093655544536
hist_asset_turnover,2.7159202459129155
hist_roa,2.0246332146684676
hist_net_chg_lt_debt_usd,1.631663219850615
hist_roe,1.5732110554061838
hist_ebitda_ev,1.2023960565465226
hist_capex_sales,1.183501501732738
return_usd,1.1688192843096434
hist_eps_usd,1.1454678360475712
hist_capex_depr,1.1277334788001292
hist_book_px,1.0679350331067192
hist_fcf_yld,1.0554750625066702
hist_roic,1.0326515473547515
random_feature,1.0143656855580656
hist_pe,1.011748184650104
