model_name,RMSE,MAE,MSE,R2,alpha,l1_ratio,n_features_used,n_companies,cv_mse,cv_mse_std
ElasticNet_LR_Base_optuna,1.8598618892373984,1.4499402142038367,3.4590862470377046,0.11101971849303338,0.002420390892805117,0.7902845200189502,177,,,
ElasticNet_LR_Yeo_optuna,1.750584989274758,1.383181044363464,3.064547804674105,0.212415541120491,0.007179547125857532,0.10496154211915584,277,,,
ElasticNet_LR_Base_Random_optuna,1.8682220499373972,1.4504984762638387,3.4902536278722907,0.10300974562465137,0.002407554804891471,0.7672909009739454,181,,,
ElasticNet_LR_Yeo_Random_optuna,1.7499463056832458,1.382532565775951,3.06231207277444,0.21299012106201176,0.007249994945840446,0.13084912838707796,258,,,
